City,Country,Cloudiness,Humidity,Lat,Lng,Max Temp,Wind Speed
Orangeburg,US,1,78,33.49,-80.86,82.4,5.82
Norman Wells,CA,75,50,65.28,-126.83,77,5.82
Dingle,PH,100,71,11,122.67,86.09,4.81
Beyneu,KZ,0,30,45.32,55.19,84.11,9.15
Sharjah,AE,0,66,25.36,55.39,91.4,10.29
Clyde River,CA,90,100,70.47,-68.59,37.4,10.29
Rikitea,PF,0,51,-23.12,-134.97,67.55,7.81
Russell,US,1,41,38.9,-98.86,91.4,12.75
Oranjestad,AW,20,78,12.52,-70.03,80.6,23.04
Martapura,ID,5,66,-3.41,114.85,86.09,3.53
San Quintin,PH,100,71,17.54,120.52,85.37,6.29
Ilheus,BR,40,83,-14.79,-39.05,75.2,10.29
San Patricio,PY,0,72,-26.98,-56.83,69.71,14.07
Nikolskoye,RU,0,87,59.7,30.79,62.01,6.71
Joao Pinheiro,BR,99,58,-17.74,-46.17,60.17,10.36
Chumikan,RU,100,97,54.72,135.31,51.89,3.89
Kaitangata,NZ,100,92,-46.28,169.85,50,10
Sao Filipe,CV,100,79,14.9,-24.5,72.77,12.68
Manavalakurichi,IN,75,88,8.13,77.3,77,11.41
Belmonte,PT,0,65,40.36,-7.35,70,0.83
Codrington,AU,0,43,-28.95,153.24,69.8,5.82
Bima,ID,56,44,-8.45,118.73,85.19,5.03
Rawson,AR,100,84,-43.3,-65.11,43.43,16.73
Tamandare,BR,0,72,-8.28,-70.75,73.13,1.5
Dong Hoi,VN,99,63,17.48,106.6,87.53,5.26
Alugan,PH,77,80,12.22,125.48,85.73,2.51
Dikson,RU,100,100,73.51,80.55,40.55,6.31
Srednekolymsk,RU,16,39,67.46,153.71,63.41,18.39
Oranjemund,ZA,0,53,-28.55,16.43,60.53,12.8
Hermanus,ZA,89,74,-34.42,19.24,46.99,8.99
Saint-Francois,FR,0,94,46.42,3.91,68,3.36
Jiayuguan,CN,100,48,39.77,98.29,67.19,2.75
Samarai,PG,41,71,-10.62,150.67,79.43,7.11
Innsbruck,AT,75,93,47.27,11.39,59,3.36
Tessalit,ML,100,36,20.2,1.01,86.81,5.88
Salinopolis,BR,1,75,-0.61,-47.36,81.95,22.37
Hofn,IS,100,98,64.25,-15.21,39.65,6.62
Ondjiva,AO,0,26,-17.07,15.73,51.53,6.62
Faya,SA,0,27,18.39,42.45,68,2.8
El Paso,US,1,16,31.76,-106.49,98.6,6.93
Ponta do Sol,BR,100,72,-20.63,-46,55.31,10.38
Rocha,UY,67,92,-34.48,-54.34,60.53,12.37
Dicabisagan,PH,100,78,17.08,122.42,83.57,2.77
Byron Bay,AU,0,60,-28.65,153.62,73,13.87
Verkhnevilyuysk,RU,0,37,63.45,120.31,72.41,3.24
Lazaro Cardenas,MX,20,27,28.39,-105.62,86,5.82
Klyuchi,RU,31,60,52.25,79.17,74.03,8.28
Mahebourg,MU,20,100,-20.41,57.7,69.01,4.7
Mackay,CA,20,56,53.65,-115.58,69.8,5.82
Creel,MX,64,89,27.75,-107.63,58.73,1.66
Coos Bay,US,90,82,43.37,-124.22,63,17.22
Shingu,JP,75,83,33.72,135.99,82.4,13.87
Tananger,NO,75,93,58.94,5.59,60.8,2.24
Yellowknife,CA,20,37,62.45,-114.38,71.6,8.05
Tuatapere,NZ,78,96,-46.13,167.69,51.01,3
Necochea,AR,100,90,-38.55,-58.74,60.01,15.01
Jaffna,LK,100,73,9.67,80.01,83.57,13.11
Kavieng,PG,100,77,-2.57,150.8,83.21,13.89
Kozhva,RU,0,68,65.11,57.05,64.49,2.64
Quatre Cocos,MU,20,100,-20.21,57.76,69.01,4.7
Baghdad,IQ,0,33,33.3,44.38,87.8,12.75
Monkey Hill,KN,0,83,17.32,-62.72,82,10.29
Georgetown,GY,20,100,6.8,-58.16,75.2,4.7
Numan,NG,51,88,9.46,12.04,72.77,7.18
Port Alfred,ZA,93,80,-33.59,26.89,46,5.99
Kirakira,SB,43,81,-10.46,161.92,79.25,19.17
Lasa,CY,0,88,34.92,32.53,73.4,5.82
Champerico,MX,90,94,16.38,-93.6,71.6,5.82
Onalaska,US,1,83,43.88,-91.23,71.01,9.17
Bagdarin,RU,100,96,54.44,113.59,53.69,5.44
Boyuibe,BO,36,78,-20.43,-63.28,62.87,8.03
Turayf,SA,0,78,31.68,38.65,71.6,3.36
Sochi,RU,90,88,43.6,39.73,71.6,6.71
Whitianga,NZ,2,75,-36.83,175.7,61,1.01
Severo-Kurilsk,RU,77,94,50.68,156.12,46.13,12.62
Waingapu,ID,60,52,-9.65,120.26,81.77,14.54
Sur,OM,33,68,22.57,59.53,80.15,6.96
Huarmey,PE,0,88,-10.07,-78.15,62.15,9.31
Katsuura,JP,75,94,33.93,134.5,82,17.22
Perth,AU,75,72,-31.95,115.86,66,14.99
Pimentel,BR,6,93,-3.7,-45.5,71.15,1.88
Pevek,RU,60,85,69.7,170.27,34.61,6.69
Chicama,PE,20,88,-7.84,-79.15,62.6,6.93
Carauari,BR,60,85,-4.88,-66.9,74.57,2.89
Aklavik,CA,75,43,68.22,-135.01,71.6,9.17
Richards Bay,ZA,100,71,-28.77,32.06,61.25,34.69
Cairns,AU,90,60,-16.92,145.77,79,14.99
Crixas,BR,62,54,-14.55,-49.97,65.75,4.09
Jijiga,ET,79,91,9.35,42.8,57.47,9.73
Hammerfest,NO,53,67,70.66,23.68,59,5.82
Lucapa,AO,0,32,-8.42,20.74,59.09,4.54
Havre-Saint-Pierre,CA,90,93,50.23,-63.6,55.4,9.17
Porto Nacional,BR,0,64,-10.7,-48.41,71.6,6.93
Swellendam,ZA,62,86,-34.02,20.44,41,6.93
Katherine,AU,17,23,-14.47,132.26,84.2,2.24
Chokurdakh,RU,100,74,70.62,147.9,38.39,14.14
Slavuta,UA,0,87,50.3,26.87,59.09,2.64
Yavas,RU,8,95,54.42,42.84,58.55,9.15
Tabou,CI,100,91,4.42,-7.36,74.03,4.68
Wonthaggi,AU,55,68,-38.6,145.59,60.01,11.01
Mikhaylovka,RU,90,70,52.96,103.29,68.81,6.2
Baykit,RU,94,37,61.68,96.39,63.41,13.09
Khatanga,RU,24,33,71.98,102.47,77.81,11.43
Beringovskiy,RU,46,63,63.05,179.32,65.57,14.41
Port Lincoln,AU,2,73,-34.72,135.86,58.55,26.24
Miguel Alves,BR,100,93,-4.17,-42.89,72.05,1.34
Mitsamiouli,KM,0,68,-11.38,43.28,77.27,7.54
Saldanha,PT,28,68,41.42,-6.55,64.13,3.62
Coquimbo,CL,100,87,-29.95,-71.34,53.6,2.24
Celestun,MX,7,79,20.87,-90.4,83.03,14.34
Tasiilaq,GL,100,86,65.61,-37.64,39.2,2.33
Corner Brook,CA,75,81,48.95,-57.95,59,8.05
San Jeronimo,PE,0,89,-13.65,-73.37,44.33,0.83
Havelock,US,1,78,34.88,-76.9,84,6.93
Creston,US,90,83,41.06,-94.36,75.2,9.17
Geraldton,CA,75,93,49.72,-86.95,60.8,4.7
Arecibo,PR,40,88,18.47,-66.72,80.01,4.7
Bethel,US,90,72,60.79,-161.76,60.8,11.41
Vila Velha,BR,40,74,-3.71,-38.6,86,8.05
Kachiry,KZ,0,62,53.07,76.1,76.01,4.83
Greystones,IE,20,87,53.14,-6.06,55.4,8.05
Fort Nelson,CA,40,37,58.81,-122.69,82.4,3.36
Bambous Virieux,MU,20,100,-20.34,57.76,69.01,4.7
Bilma,NE,35,36,18.69,12.92,88.79,9.19
Eureka,US,75,87,40.8,-124.16,60.01,5.82
Vila Franca do Campo,PT,20,88,37.72,-25.43,69.8,11.41
Svit,SK,20,93,49.06,20.2,61,2.24
Tuzla,BA,0,93,44.54,18.68,57.2,2.24
Tautira,PF,20,61,-17.73,-149.15,78.8,8.05
Vardo,US,1,78,39.62,-77.74,84.99,3.36
Luderitz,NA,0,56,-26.65,15.16,59.45,3.58
Porto Walter,BR,0,87,-8.27,-72.74,71.69,1.99
Acajutla,SV,100,74,13.59,-89.83,84.47,7.52
Manzanillo,MX,75,66,19.05,-104.32,86,1.28
Jinchang,CN,100,47,38.52,102.19,65.39,11.81
Kabo,CF,100,98,7.69,18.62,67.73,3.53
Duki,PK,35,44,30.15,68.58,84.29,3.62
Zheleznogorsk,RU,40,81,56.25,93.53,53.6,6.71
Scunthorpe,GB,8,87,53.59,-0.65,57,5.82
North Platte,US,1,73,41.12,-100.77,73.4,14.99
Bredasdorp,ZA,69,86,-34.53,20.04,46.99,6.93
Port Macquarie,AU,0,24,-31.43,152.91,75,11.41
Karaton,ID,20,58,-6.34,106.1,87.01,5.82
Vostok,RU,79,86,46.45,135.83,75.65,0.36
Linjiang,CN,100,90,41.81,126.91,72.23,2.93
Lagoa,PT,0,38,37.14,-8.45,77,3.36
Khandyga,RU,0,30,62.65,135.58,66.65,4.03
Ettenheim,DE,75,93,48.25,7.81,68,5.82
Adrar,DZ,0,10,27.87,-0.29,95,4.7
Prince Albert,CA,20,77,53.2,-105.75,66.2,6.93
Rancho Palos Verdes,US,20,88,33.75,-118.37,75.2,11.41
Dawlatabad,AF,0,15,36.41,64.91,91.85,13.44
Puri,ID,10,55,-7.54,112.45,84.65,14.9
Hun,BE,0,87,50.34,4.87,60.01,12.75
Jadu,LY,0,68,31.95,12.03,69.35,11.12
Auki,NG,61,73,12.18,6.51,72.77,12.01
Grindavik,IS,75,93,63.84,-22.43,57,10.29
Buala,SB,59,77,-8.15,159.59,81.95,11.01
Wagar,US,100,91,31.44,-87.99,78.01,2.55
Nyurba,RU,0,34,63.29,118.35,71.51,4.61
Faanui,PF,41,78,-16.48,-151.75,77.27,18.25
Xichang,CN,100,96,27.88,102.25,63.59,3.6
Mingyue,CN,96,77,43.11,128.91,73.49,12.88
Tilichiki,RU,100,97,60.47,166.1,51.35,3.62
Tabuk,PH,100,72,17.41,121.44,76.73,4.41
Carnarvon,ZA,95,71,-30.97,22.13,32.63,13.13
Linqiong,CN,20,74,30.42,103.46,90,4.03
Saint Anthony,US,1,35,43.97,-111.68,80.6,5.82
Zatoka,PL,0,93,50.04,20.52,66.99,3.36
Male,UA,95,75,50.74,33.7,64.85,2.51
Peristasis,GR,0,73,40.27,22.54,75,2.75
Ilulissat,GL,40,87,69.22,-51.1,48.2,1.12
Airai,TL,88,45,-8.93,125.41,81.95,5.06
Lianran,CN,100,95,24.92,102.47,77,1.16
Ballina,IE,100,99,54.11,-9.15,60.01,14.65
Camacha,PT,40,77,33.08,-16.33,71.6,11.41
Kaspiyskiy,RU,94,41,45.39,47.37,81.41,11.05
Nanzhou,CN,98,67,29.37,112.41,89.15,4.65
Buchanan,LR,75,94,5.88,-10.05,75.2,14.88
Mao,DO,34,54,19.55,-71.08,81,3
Alekseyevka,RU,0,77,53.25,50.49,64.4,4.47
Dutse,NG,0,75,11.76,9.34,75.11,13.51
Naze,NG,100,95,5.43,7.07,72.77,1.07
Rosarito,CO,75,61,4.91,-75.23,77,3.36
Napanee,CA,90,88,44.25,-76.95,82,6.93
Kemin,KG,0,38,42.79,75.7,72.23,3.31
Kieta,PG,6,79,-6.22,155.63,81.95,13.4
Khonsa,IN,100,92,26.99,95.51,76.73,2.19
Smithers,CA,40,63,54.78,-127.17,64.4,8.05
Carmaux,FR,90,82,44.05,2.16,70,3.36
Namibe,AO,0,83,-15.19,12.15,68.45,3.09
Bandarbeyla,SO,100,60,9.49,50.81,77.81,30.11
Soyo,AO,0,85,-6.13,12.37,71.51,3.94
East London,ZA,49,81,-33.02,27.91,42.89,4.76
Bichura,RU,1,72,50.59,107.6,70.61,3.98
Honiara,SB,40,66,-9.43,159.96,89.6,13.87
Aracati,BR,22,78,-4.56,-37.77,71.69,5.5
Omboue,GA,95,85,-1.57,9.26,74.75,7.09
Penalva,BR,18,96,-3.29,-45.17,70.97,2.15
Nanortalik,GL,98,97,60.14,-45.24,39.65,3.74
Fortuna,US,75,87,40.6,-124.16,60.01,5.82
Tigzirt,DZ,0,32,36.57,4.2,81.41,5.59
Tarauaca,BR,0,71,-8.16,-70.77,73.13,0.96
Erzin,TR,0,69,36.95,36.2,79,9.17
Torbay,CA,90,87,47.66,-52.73,50,10.29
Salekhard,RU,11,59,66.54,66.62,69.35,5.06
Warrington,GB,0,87,53.39,-2.59,60.01,4.7
Sao Joao da Barra,BR,9,95,-21.64,-41.05,60.89,2.06
Caxito,BR,37,82,-22.65,-42.51,56.93,5.66
Wheeling,US,1,88,40.06,-80.72,82,3.36
Okhotsk,RU,0,36,59.36,143.24,68.63,12.66
Mapiripan,CO,62,95,2.89,-72.13,70.61,3.36
Itarema,BR,76,88,-2.92,-39.92,72.23,7
Sovetskiy,RU,34,94,56.76,48.47,57.65,8.28
Nouadhibou,MR,0,77,20.93,-17.03,69.8,8.05
Blackfoot,US,1,24,43.19,-112.35,80.01,9.17
Mar del Plata,AR,0,66,-46.43,-67.52,34.07,5.37
Ban Nahin,LA,100,84,18.24,104.21,82.31,2.44
San Andres,PH,100,61,13.32,122.68,88.25,5.26
Ibirite,BR,0,72,-20.02,-44.06,59,4.7
Igrim,RU,68,66,63.19,64.42,69.89,5.79
Oxapampa,PE,6,96,-10.58,-75.4,48.83,3.06
Kyshtovka,RU,48,80,56.56,76.62,64.85,9.46
Cooma,AU,0,40,-36.24,149.13,53.6,24.16
Cherskiy,RU,97,43,68.75,161.3,54.05,11.39
Chone,EC,41,88,-0.7,-80.09,72.41,12.88
Puerto Escondido,MX,75,79,15.86,-97.07,84.2,3.09
Loandjili,CG,20,100,-4.77,11.87,68,3.36
İstisu,AZ,10,64,40.95,48.07,66.83,1.41
Sartana,UA,0,57,47.17,37.7,65.75,5.97
Maragogi,BR,61,94,-9.01,-35.22,70.43,5.37
Palmer,AU,20,71,-34.85,139.16,61,13.87
Quepos,CR,0,73,9.43,-84.16,75.2,13.87
Kuruman,ZA,14,62,-27.46,23.43,30.99,8.48
Pacific Grove,US,40,72,36.62,-121.92,70,8.05
Vestmanna,FO,100,100,62.16,-7.17,50,5.82
Watertown,US,1,82,44.9,-97.12,68,3.36
Meulaboh,ID,100,72,4.14,96.13,80.51,3.4
Ucluelet,CA,100,78,48.94,-125.55,64,15.43
Fukue,JP,75,83,35.03,136.69,86,9.17
Providencia,CO,60,78,1.24,-77.6,54.41,5.5
Kavaratti,IN,100,79,10.57,72.64,82.31,25.66
Mani,NG,61,73,12.12,6.75,72.77,12.01
Dakoro,NE,3,52,14.51,6.76,84.83,14.14
Bonavista,CA,7,85,48.65,-53.11,48.99,4.29
Kushiro,JP,75,88,43.11,144.15,64.4,6.93
Rome,IT,0,77,41.89,12.48,73,3.36
Yichun,CN,97,51,47.72,128.88,87.17,7.63
Sinnamary,GF,83,81,5.38,-52.96,81.05,14.97
Teningen,DE,0,93,48.13,7.81,68,2.24
Umm Lajj,SA,0,78,25.02,37.27,85.91,16.4
Leningradskiy,RU,90,91,69.38,178.42,36.95,14.23
Tarime,TZ,20,77,-1.35,34.38,68,1.39
Burgeo,CA,0,94,47.61,-57.61,58.01,9.86
Puksoozero,RU,100,98,62.59,40.61,50.45,5.99
Portland,US,1,78,43.66,-70.25,81,5.82
Jaen,PE,59,93,-5.71,-78.81,58.73,2.08
Lakes Entrance,AU,13,49,-37.88,147.99,63,14.65
Bone,DE,0,93,51.97,12.14,63,8.05
Aswan,EG,0,25,24.09,32.9,89.6,10.29
Innisfail,AU,53,75,-17.52,146.03,64,3
Guerrero Negro,MX,65,84,27.97,-114.04,65.93,18.86
Muborak,UZ,0,12,39.25,65.15,100.49,19.42
Souillac,FR,0,93,45.6,-0.6,66.99,1.12
Qandala,SO,100,50,11.47,49.87,88.79,26.89
Nara,JP,75,70,34.68,135.8,89.6,10.29
Saint George,GR,20,82,39.45,22.34,73.99,1.54
Zhigansk,RU,0,27,66.77,123.37,75.65,11.95
Zalesovo,RU,0,70,54,84.74,65.39,5.46
Loukhi,RU,80,76,66.08,33.04,55.13,3.15
Victoria,BN,75,75,5.28,115.24,89.6,3.36
Elizabeth City,US,1,78,36.3,-76.22,89.01,5.82
Saint-Pierre,FR,0,93,48.95,4.24,64.4,4.7
Diffa,NE,81,46,13.32,12.61,85.55,12.59
Mozarlandia,BR,69,41,-14.74,-50.57,68.63,4.63
Paraguari,PY,0,60,-25.62,-57.15,75.2,9.17
Umarkot,PK,0,46,25.37,69.74,91.85,8.66
Sibolga,ID,100,79,1.74,98.78,81.23,14.94
Solnechnyy,RU,100,78,50.72,136.64,75.47,4.38
Karpogory,RU,100,94,64,44.44,48.47,5.99
Mwinilunga,ZM,0,41,-11.73,24.43,51.17,5.19
Port Blair,IN,100,79,11.67,92.75,82.49,10.71
Alofi,NU,99,78,-19.06,-169.92,80.6,12.75
Saint-Joseph,FR,0,88,43.56,6.97,73.4,2.24
Aljezur,PT,0,70,37.31,-8.8,70,16.06
Oussouye,SN,100,76,12.49,-16.54,78.71,3.56
Calama,CL,0,15,-22.46,-68.93,55.4,5.7
Salalah,OM,75,94,17.01,54.1,78.8,2.24
Anadyr,RU,90,93,64.73,177.51,60.8,4.47
Bull Savanna,JM,15,76,17.89,-77.59,83.93,5.95
Koslan,RU,63,86,63.46,48.9,54.59,6.2
Kaeo,NZ,11,100,-35.1,173.78,60.01,8.08
Cabo San Lucas,MX,40,61,22.89,-109.91,80.6,11.41
Kulai,MY,75,70,1.66,103.61,89.01,4.7
Vilyuysk,RU,26,34,63.75,121.63,71.87,4.41
Touros,BR,75,100,-5.2,-35.46,73.4,4.7
Am Timan,TD,100,92,11.04,20.28,72.95,3.87
Kedrovyy,RU,40,81,56.17,91.82,53.6,6.71
Mnogovershinnyy,RU,100,96,53.94,139.92,52.07,7.56
Camocim,BR,0,78,-2.9,-40.84,73.49,6.58
Horizontina,BR,0,89,-27.63,-54.31,62.87,5.82
Slantsy,RU,0,80,59.12,28.09,61.97,6.96
Raudeberg,NO,100,93,61.99,5.14,59,10.29
Zeya,RU,100,99,53.74,127.27,58.91,5.99
Keti Bandar,PK,74,81,24.14,67.45,82.49,13.49
Saint-Georges,CA,0,32,46.12,-70.67,79,1.01
Prince Rupert,CA,1,77,54.32,-130.32,60.8,4.7
Maceio,BR,75,78,-9.67,-35.74,75.2,8.05
Ribeira Grande,PT,0,82,38.52,-28.7,72.23,24.07
Iquique,CL,90,72,-20.22,-70.14,60.8,4.7
Broome,GB,54,93,52.47,1.45,59,6.93
Corinto,CO,75,65,3.17,-76.26,78.8,6.93
Alyangula,AU,0,30,-13.85,136.42,82.4,12.75
Hobbs,US,1,26,32.7,-103.14,95,12.75
Constitucion,MX,90,59,23.99,-104.67,66.99,12.75
Cap-Chat,CA,100,85,49.1,-66.68,61.25,10.6
Pisco,PE,90,77,-13.71,-76.2,62.6,9.17
Nanhai,CN,100,68,30.13,111.78,87.35,4.85
Syasstroy,RU,70,82,60.14,32.56,58.01,5.93
Chuy,UY,27,85,-33.69,-53.46,61.79,11.83
Nikolayevsk-na-amure,RU,100,98,53.14,140.72,52.97,7.61
Voznesenye,RU,82,92,61.02,35.48,55.49,3.47
Kuito,AO,0,36,-12.38,16.94,46.67,3.47
Ler,NO,0,59,63.2,10.3,66.2,27.51
Mount Darwin,ZW,59,26,-16.77,31.58,50.27,3.76
Westport,US,1,78,41.14,-73.36,86,5.82
Iqaluit,CA,90,100,63.75,-68.52,39.2,10.29
San Ramon,NI,100,92,12.92,-85.84,68.45,5.91
Thinadhoo,MV,79,77,0.53,72.93,83.21,13.69
Khorramshahr,IR,0,37,30.43,48.18,84.2,6.93
Nanchang,CN,99,72,28.68,115.89,88.43,2.39
Esil,KZ,74,45,51.96,66.41,79.61,15.39
Taoudenni,ML,73,37,22.68,-3.98,90.77,21.77
Florianopolis,BR,75,93,-27.6,-48.55,64.4,11.41
Yuzhno-Kurilsk,RU,97,91,44.03,145.86,58.91,6.62
Barras,BR,51,88,-4.24,-42.29,71.69,2.39
Vao,EE,0,78,59.1,26.19,57.29,4.9
Sao Jose da Coroa Grande,BR,61,94,-8.9,-35.15,70.43,5.37
Agadez,NE,27,33,16.97,7.99,89.33,7.47
Ilinskiy,RU,40,87,55.62,38.12,63,6.71
Xai-Xai,MZ,100,84,-25.04,33.64,59.45,12.8
Nhulunbuy,AU,75,61,-12.18,136.78,78.8,14.99
Fare,PF,31,76,-16.7,-151.02,76.73,15.77
Siocon,PH,51,72,11.03,124.04,85.73,2.48
Colac,AU,28,76,-38.34,143.59,57.99,11.01
Kloulklubed,PW,75,74,7.04,134.26,86,6.93
Veraval,FR,0,93,49.65,0.71,57.99,3.36
Xining,CN,100,95,36.62,101.77,47.57,3.36
Padang,ID,100,73,-0.92,100.36,81.95,3.58
Sokolovo,BA,0,93,44.62,16.86,60.8,2.24
Narsaq,GL,100,76,60.91,-46.05,50,4.7
Yagodnoye,RU,43,51,62.52,149.63,48.65,11.34
Gat,SN,0,83,14.69,-16.54,77,4.7
Dzaoudzi,YT,0,83,-12.79,45.27,75.2,11.41
Pochutla,MX,75,79,15.74,-96.47,84.2,2.73
Kamiiso,JP,75,77,41.82,140.65,69.8,17.22
Korba,IN,5,68,22.35,82.71,85.55,6.62
Hithadhoo,MV,100,78,-0.6,73.08,82.85,15.75
Coihaique,CL,40,98,-45.58,-72.07,32,4.7
San Carlos de Bariloche,AR,90,88,-41.13,-71.31,32,9.01
Saint-Augustin,CA,40,94,45.63,-73.98,80.01,3.36
Chauk,MM,100,66,20.89,94.82,86.45,7.23
Ngunguru,NZ,5,71,-35.62,174.5,60.01,8.01
Puerto Madryn,AR,100,73,-42.77,-65.04,46.31,14.88
Honningsvag,NO,4,83,70.98,25.97,50.63,3.51
Vestmannaeyjar,IS,70,92,63.44,-20.27,51.71,4.25
Shimoda,JP,75,83,34.7,138.93,82.4,2.24
Amarwara,IN,34,63,22.3,79.17,83.93,9.71
Nishihara,JP,40,83,35.74,139.53,82.99,8.05
Surt,LY,0,71,31.21,16.59,76.73,10.04
Buluang,PH,40,74,10.47,123.98,86,3.36
Mount Isa,AU,18,11,-20.73,139.49,78.8,9.17
La Ronge,CA,5,52,55.1,-105.3,66.2,3.36
Tateyama,JP,75,52,36.66,137.31,93,9.17
Pemba,MZ,0,77,-12.97,40.52,70.79,6.15
Sao Gabriel da Cachoeira,BR,67,97,-0.13,-67.09,72.41,2.37
Cap Malheureux,MU,20,100,-19.98,57.61,69.01,4.7
Ciudad Bolivar,VE,79,82,8.12,-63.55,77.45,7.54
Tarut,SA,0,35,26.57,50.06,89.6,3.36
Santa Maria,BR,0,63,-16.02,-48.01,62.6,3.36
Moree,AU,0,40,-29.46,149.84,71.01,12.75
Sitka,US,0,48,37.17,-99.65,84.99,5.01
Road Town,VG,40,78,18.42,-64.62,82.4,4.7
Hasaki,JP,75,88,35.73,140.83,78.01,6.93
Haines Junction,CA,75,55,60.75,-137.51,61.97,8.88
Goure,NE,47,47,13.98,10.27,83.93,12.15
Nemuro,JP,75,88,43.32,145.57,66.2,9.17
Oxbow,CA,1,64,49.23,-102.17,68,5.82
